J0139+3336,24.98846,17,33.6166,3,0.801307121,7,-1.33E-15,6,*,0,*,1.472
J0139+5621,24.91067,9,56.36022,12,0.563271173,3,-2.51E-14,8,*,0,*,2.41
J0139+5814,24.83225,5,58.242172,5,3.670389738,2,-1.44E-13,15,*,0,*,2.6
J0141+6009,25.4164,4,60.158974,19,0.817695907,12,-2.61E-16,9,2.70E-28,16,*,2.3
J0141+63,25.2,5,63.13,14,21.4197,3,*,0,*,0,*,8.774
J0146+31,26.56,17,31.07,17,1.065984,0,*,0,*,0,*,1.825
J0146+6145,26.5934,5,61.75078,20,0.115088121,5,-2.64E-14,6,*,0,*,3.6
J0147+5922,26.9360142,5,59.3675789,3,5.093688845,4,-6.66E-15,2,3.39E-26,12,*,1.9
J0151-0635,27.8446579,9,-6.5841631,6,0.68275019,3,-2.06E-16,19,*,0,*,25
J0152+0948,28.0989,3,9.8028,6,0.364080238,14,-2.25E-16,6,*,0,*,2.477
J0152-1637,28.0452246,5,-16.6315669,6,1.200852683,18,-1.87E-15,8,-4.98E-27,12,*,0.92
J0154+1833,28.65367804,13,18.564099,3,422.9099137,8,-5.22E-16,2,*,0,*,1.622
J0156+3949,29.2302,9,39.8246,12,0.552010236,3,-4.62E-17,3,1.30E-27,37,*,4.92
J0157+6212,29.4580975,5,62.2074022,3,0.425216181,11,-3.42E-14,9,*,0,*,1.82
J0158+21,29.62,14,21.13,14,1.979022,0,*,0,*,0,*,1.568
J0201+7005,30.42227,3,70.088364,17,0.741188489,5,-3.03E-15,8,*,0,*,1.172
J0203-0150,30.89130062,17,-1.8337743,3,193.2993976,14,-5.34E-16,4,*,0,ELL1,1.837
J0205+6449,31.4080103,7,64.8281484,3,15.2170109,2,-4.49E-11,9,5.85E-21,5,*,3.2
J0206-4028,31.50539,3,-40.467672,20,1.585913889,9,-3.01E-15,7,*,0,*,1.26
J0209+4331,32.473221,17,43.518319,12,1.157564675,4,-7.66E-17,7,*,0,*,2.531
