148,J0729-1448,J0729-1448,5,54687,3,6676,9,54,5,"Espinoza+2011 [elsk11], also in Weltevrede+2010 [wjm+10], Yu+2012 [ymh+12]"
149,J0729-1448,J0729-1448,6,58266.6,0.9,3.8,0.4,X,X,Basu+2019 [bkj+19]
150,J0738-4042,J0738-4042,1,57359,5,0.36,0.04,3,1,Zhou+22 [zgy+22]
151,B0740-28,J0742-2822,1,47625,3,1.2,0.1,-0.8,0.3,"Espinoza+2011 [elsk11], also in D’Alessandro+1993 [dmk+93]"
152,B0740-28,J0742-2822,2,48331.7,0.3,1.2,0.1,-1,1,"Espinoza+2011 [elsk11], also in D’Alessandro+1993 [dmk+93]"
153,B0740-28,J0742-2822,3,51770,20,1,0.3,0.9,0.2,Janssen+2006 [js06]
154,B0740-28,J0742-2822,4,52028,2,3.7,0.2,4,1,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]"
155,B0740-28,J0742-2822,5,53083,1,1.7,0.2,-1,1,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]"
156,B0740-28,J0742-2822,6,53467.7,0.3,1.8,0.1,4.6,0.5,"Espinoza+2011 [elsk11], also in Janssen+2006 [js06]"
157,B0740-28,J0742-2822,7,55020.469,0.004,92,2,-372,96,"Espinoza+2011 [elsk11], also in Yu+2012 [ymh+12]"
158,B0740-28,J0742-2822,8,56725.2,0.2,2.4,0.1,-1.1,0.6,Basu+2021 [bsa+21]; also Basu+2019 [bkj+19]
159,B0740-28,J0742-2822,9,59839.4,0.5,4304.2,1,X,X,Shaw+2022 [sms+22]
160,B0756-15,J0758-1528,1,49963,4,0.11,0.03,2,2,Espinoza+2011 [elsk11]
161,B0818-13,J0820-1350,1,49927,20,0.035,0.002,0.159,0.004,Basu+2021 [bsa+21]
162,B0818-13,J0820-1350,2,58063,10,0.082,0.006,0.14,0.07,Basu+2021 [bsa+21]
163,B0833-45,J0835-4510,1,40280,4,2340,10,10,1,Downs (1981) [dow81]
164,B0833-45,J0835-4510,2,41192,8,2050,30,15,6,Downs (1981) [dow81]
165,B0833-45,J0835-4510,3,41312,4,12,2,3,6,Cordes+1988 [cdk88]
166,B0833-45,J0835-4510,4,42683,3,1990,10,11,7,Downs (1981) [dow81]
167,B0833-45,J0835-4510,5,43693,12,3060,60,18,9,Downs (1981) [dow81]
168,B0833-45,J0835-4510,6,44888.4,0.4,1145,3,49,4,Cordes+1988 [cdk88]
169,B0833-45,J0835-4510,7,45192,1,2050,10,23,1,Cordes+1988 [cdk88]
170,B0833-45,J0835-4510,8,46257.228,0.001,1601,1,17,1,McCulloch+1987 [mkhr87]
171,B0833-45,J0835-4510,9,47519.8036,0.0001,1805,1,77,6,McCulloch+1987 [mkhr87]
172,B0833-45,J0835-4510,10,48457.382,0.001,2715,2,600,60,Flanagan (1991) [fla91]
173,B0833-45,J0835-4510,11,48550,19,5.55,0.3,1.053,0.013,Espinoza+2021 [ead+21]
174,B0833-45,J0835-4510,12,49559,0.2,835,2,0,5,Flanagan+1994 [fm94]
175,B0833-45,J0835-4510,13,49591.2,X,199,2,120,20,Flanagan (1994) [fla94]
176,B0833-45,J0835-4510,14,50369.345,0.002,2110,17,5.95,0.03,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]"
177,B0833-45,J0835-4510,15,51457,99,38,4,3.66,0.19,Espinoza+2021 [ead+21]
178,B0833-45,J0835-4510,16,51559.319,0.001,3085.72,0.04,6.736,0.001,"Dodson+2002 [dml02], also in Yu+2012 [ymh+12]"
179,B0833-45,J0835-4510,17,53193,X,2100,X,X,X,"Dodson+2004 [dbr+04], also in Yu+2012 [ymh+12]"
180,B0833-45,J0835-4510,18,53960,X,2620,X,230,40,"Flanagan+2006 [fb06], also in Yu+2012 [ymh+12]"
181,B0833-45,J0835-4510,19,55408.8,X,1940,X,75,1,Buchner (2010) [buc10]; also in Gügercinoğlu+22 [ggyz22]
