Jname,RA_deg,RA_err,dec_deg,dec_err,F0,F0_err,F1,F1_err,F2,F2_err,binary_model,dist,MJD,dF_F,dF1_F1,E_naive,E_mountain,E_superfluid
J1801-2451,270.25007,4.0,-24.85764,6.0,8.004853723,5.0,-8.2e-12,3.0,4.01e-22,10.0,*,3.803,54661.0,3101.0,9.3,7.844554839670859e+42,,1.3078475568720074e+39
J1801-2451,270.25007,4.0,-24.85764,6.0,8.004853723,5.0,-8.2e-12,3.0,4.01e-22,10.0,*,3.803,56979.0,2413.0,5.3,6.104131192559105e+42,,1.389553638457087e+39
J1801-2451,270.25007,4.0,-24.85764,6.0,8.004853723,5.0,-8.2e-12,3.0,4.01e-22,10.0,*,3.803,58564.76,2250.9,3.82,5.694069167563735e+42,,1.6775890430980642e+39
J1803-2137,270.96421,5.0,-21.618709,3.0,7.481282565,9.0,-7.52e-12,9.0,2.08e-22,4.0,*,4.4,48245.0,4074.4,9.3,9.002756757461144e+42,,1.972087749064499e+39
J1803-2137,270.96421,5.0,-21.618709,3.0,7.481282565,9.0,-7.52e-12,9.0,2.08e-22,4.0,*,4.4,50264.1,7.1,0.5,1.568809468338261e+40,,1.113854722520165e+35
J1803-2137,270.96421,5.0,-21.618709,3.0,7.481282565,9.0,-7.52e-12,9.0,2.08e-22,4.0,*,4.4,50777.0,3184.0,8.0,7.035337108716936e+42,,1.4000320846346702e+39
J1803-2137,270.96421,5.0,-21.618709,3.0,7.481282565,9.0,-7.52e-12,9.0,2.08e-22,4.0,*,4.4,53429.0,3929.3,10.6,8.682145132312015e+42,,1.6091864560563024e+39
J1803-2137,270.96421,5.0,-21.618709,3.0,7.481282565,9.0,-7.52e-12,9.0,2.08e-22,4.0,*,4.4,55775.0,4793.0,18.6,1.0590568706683502e+43,,1.364532145460592e+39
J1803-2137,270.96421,5.0,-21.618709,3.0,7.481282565,9.0,-7.52e-12,9.0,2.08e-22,4.0,*,4.4,58958.0,4960.6,8.5,1.096089612484335e+43,,3.1983894892292895e+39
J1806-2125,271.5825,12.0,-21.4654,3.0,2.075444041,15.0,-5.08e-13,2.0,1.1e-23,4.0,*,4.886,51708.0,15773.1,37.0,2.6822475045379552e+42,,5.717210555922652e+38
J1809-0119,272.464,5.0,-1.32472,12.0,1.342324398,6.0,-4.13e-15,4.0,*,0.0,*,10.737,55406.0,1.7,0.0,1.2092709666342112e+38,,*
J1809-0119,272.464,5.0,-1.32472,12.0,1.342324398,6.0,-4.13e-15,4.0,*,0.0,*,10.737,55803.0,3.0,0.0,2.1340075881780196e+38,,*
J1809-1917,272.429733,9.0,-19.29392,14.0,12.08382262,8.0,-3.73e-12,19.0,2.7e-23,3.0,*,3.268,53251.0,1625.1,7.8,9.368035119721759e+42,,9.758970431448609e+38
J1809-1943,272.4628623,13.0,-19.7310921,12.0,0.180481215,63.0,-9.21e-14,35.0,4.1e-23,3.0,*,3.6,60099.0,960.0,*,1.2345110503069395e+39,,*
J1809-2004,272.3161,7.0,-20.07,16.0,2.299847776,8.0,-3.85e-14,3.0,*,0.0,*,5.228,54196.0,2.0,7.0,4.176263721074001e+38,,5.966091030105714e+31
J1809-2004,272.3161,7.0,-20.07,16.0,2.299847776,8.0,-3.85e-14,3.0,*,0.0,*,5.228,56227.5,48.67,0.79,1.016293776523358e+40,,3.1305707660374586e+35
J1812-1718,273.03004,4.0,-17.3082,3.0,0.829617723,6.0,-1.31e-14,1.0,5.8e-26,6.0,*,3.661,49932.0,1.5,6.0,4.0757453174566436e+37,,5.094681646820806e+30
J1812-1718,273.03004,4.0,-17.3082,3.0,0.829617723,6.0,-1.31e-14,1.0,5.8e-26,6.0,*,3.661,53106.2,14.8,7.0,4.021402046557222e+38,,4.2511964492176346e+32
J1812-1718,273.03004,4.0,-17.3082,3.0,0.829617723,6.0,-1.31e-14,1.0,5.8e-26,6.0,*,3.661,54365.8,1.4,1.0,3.804028962959534e+37,,2.662820274071673e+31
J1813-1246,273.34904,5.0,-12.7664,5.0,20.80202336,3.0,-7.6e-12,9.0,*,0.0,*,2.635,55094.0,1166.0,6.4,1.991908783243116e+43,,1.8145044072355263e+39
